shop_id,item_id,product_cnt,transactions,date_block_num,features,prediction
46,15067,1,1,33,"[46.0,15067.0,1.0,33.0]",1.768773314
39,1988,1,1,33,"[39.0,1988.0,1.0,33.0]",2.191551799
2,3351,4,3,33,"[2.0,3351.0,3.0,33.0]",2.415808863
26,1389,2,2,33,"[26.0,1389.0,2.0,33.0]",2.105806607
25,13233,5,4,33,"[25.0,13233.0,4.0,33.0]",2.52265516
42,16247,4,4,33,"[42.0,16247.0,4.0,33.0]",2.360600086
35,16494,1,1,33,"[35.0,16494.0,1.0,33.0]",1.768773314
42,20660,1,1,33,"[42.0,20660.0,1.0,33.0]",2.364493539
19,15262,2,2,33,"[19.0,15262.0,2.0,33.0]",1.802360095
21,2461,1,1,33,"[21.0,2461.0,1.0,33.0]",2.20851557
21,12080,1,1,33,"[21.0,12080.0,1.0,33.0]",1.99479887
25,11694,2,2,33,"[25.0,11694.0,2.0,33.0]",2.057965824
44,1483,2,2,33,"[44.0,1483.0,2.0,33.0]",1.992267089
42,6128,3,3,33,"[42.0,6128.0,3.0,33.0]",2.361683695
58,4634,1,1,33,"[58.0,4634.0,1.0,33.0]",2.141697101
45,15287,2,2,33,"[45.0,15287.0,2.0,33.0]",1.768773314
42,1716,6,6,33,"[42.0,1716.0,6.0,33.0]",3.700132495
35,16573,1,1,33,"[35.0,16573.0,1.0,33.0]",1.768773314
48,8166,1,1,33,"[48.0,8166.0,1.0,33.0]",1.895422543
53,15240,3,3,33,"[53.0,15240.0,3.0,33.0]",2.051933742
6,4962,1,1,33,"[6.0,4962.0,1.0,33.0]",2.145967571
46,10210,5,5,33,"[46.0,10210.0,5.0,33.0]",3.489274621
38,11354,6,5,33,"[38.0,11354.0,5.0,33.0]",3.48450297
46,18699,1,1,33,"[46.0,18699.0,1.0,33.0]",1.768773314
38,3733,2,2,33,"[38.0,3733.0,2.0,33.0]",2.191551799
48,8219,1,1,33,"[48.0,8219.0,1.0,33.0]",1.895422543
47,2866,1,1,33,"[47.0,2866.0,1.0,33.0]",2.191551799
47,1963,2,2,33,"[47.0,1963.0,2.0,33.0]",2.191551799
19,14286,5,5,33,"[19.0,14286.0,5.0,33.0]",3.357188562
4,9928,2,2,33,"[4.0,9928.0,2.0,33.0]",1.913926697
25,2376,2,2,33,"[25.0,2376.0,2.0,33.0]",2.274510411
42,16469,2,2,33,"[42.0,16469.0,2.0,33.0]",1.768773314
47,5839,1,1,33,"[47.0,5839.0,1.0,33.0]",2.141697101
26,8456,1,1,33,"[26.0,8456.0,1.0,33.0]",2.013399199
31,3818,1,1,33,"[31.0,3818.0,1.0,33.0]",2.274510411
22,15692,1,1,33,"[22.0,15692.0,1.0,33.0]",1.815080774
59,13247,1,1,33,"[59.0,13247.0,1.0,33.0]",1.781198843
28,3971,1,1,33,"[28.0,3971.0,1.0,33.0]",2.224655712
25,1307,3,3,33,"[25.0,1307.0,3.0,33.0]",2.325793201
2,14421,1,1,33,"[2.0,14421.0,1.0,33.0]",1.802360095
39,4178,1,1,33,"[39.0,4178.0,1.0,33.0]",2.141697101
38,16826,1,1,33,"[38.0,16826.0,1.0,33.0]",1.768773314
56,4413,2,2,33,"[56.0,4413.0,2.0,33.0]",2.141697101
57,21676,3,3,33,"[57.0,21676.0,3.0,33.0]",2.239011625
19,20265,1,1,33,"[19.0,20265.0,1.0,33.0]",2.499152451
3,14313,1,1,33,"[3.0,14313.0,1.0,33.0]",1.802360095
28,4085,3,2,33,"[28.0,4085.0,2.0,33.0]",2.224655712
42,15228,1,1,33,"[42.0,15228.0,1.0,33.0]",1.768773314
42,9355,3,3,33,"[42.0,9355.0,3.0,33.0]",2.12920731
38,20866,1,1,33,"[38.0,20866.0,1.0,33.0]",2.530180143
56,839,1,1,33,"[56.0,839.0,1.0,33.0]",1.992267089
42,19913,3,3,33,"[42.0,19913.0,3.0,33.0]",2.064983749
6,13332,2,2,33,"[6.0,13332.0,2.0,33.0]",1.802360095
42,978,1,1,33,"[42.0,978.0,1.0,33.0]",1.992267089
12,13661,1,1,33,"[12.0,13661.0,1.0,33.0]",1.802360095
25,19430,1,1,33,"[25.0,19430.0,1.0,33.0]",1.943878394
42,10202,115,15,33,"[42.0,10202.0,15.0,33.0]",20.89431222
49,19289,1,1,33,"[49.0,19289.0,1.0,33.0]",1.781823321
25,11055,6,5,33,"[25.0,11055.0,5.0,33.0]",3.67154898
55,14203,1,1,33,"[55.0,14203.0,1.0,33.0]",1.768773314
12,2862,1,1,33,"[12.0,2862.0,1.0,33.0]",2.195822269
5,22164,1,1,33,"[5.0,22164.0,1.0,33.0]",1.899646861
6,12851,2,2,33,"[6.0,12851.0,2.0,33.0]",1.802360095
45,15294,1,1,33,"[45.0,15294.0,1.0,33.0]",1.768773314
42,13240,9,8,33,"[42.0,13240.0,8.0,33.0]",5.666455583
57,8078,1,1,33,"[57.0,8078.0,1.0,33.0]",1.895422543
57,18280,1,1,33,"[57.0,18280.0,1.0,33.0]",1.781198843
50,8624,1,1,33,"[50.0,8624.0,1.0,33.0]",1.846046882
50,15270,1,1,33,"[50.0,15270.0,1.0,33.0]",1.768773314
7,3424,1,1,33,"[7.0,3424.0,1.0,33.0]",2.195822269
26,11354,1,1,33,"[26.0,11354.0,1.0,33.0]",2.057965824
24,21447,1,1,33,"[24.0,21447.0,1.0,33.0]",1.956458447
42,13292,1,1,33,"[42.0,13292.0,1.0,33.0]",1.768773314
31,21120,1,1,33,"[31.0,21120.0,1.0,33.0]",1.978043875
38,5324,1,1,33,"[38.0,5324.0,1.0,33.0]",2.141697101
35,21445,1,1,33,"[35.0,21445.0,1.0,33.0]",1.978043875
48,3676,1,1,33,"[48.0,3676.0,1.0,33.0]",2.191551799
14,9165,1,1,33,"[14.0,9165.0,1.0,33.0]",1.971374761
